ФИО,"Баллы, ед.","Баллы, %",Баллы по ключевым навыкам,labels
ФИО_331,"54,71",54.71,,8
ФИО_400,"54,71",54.71,,8
ФИО_589,"54,71",54.71,,8
ФИО_227,5,5.0,,0
ФИО_235,5,5.0,,0
ФИО_334,5,5.0,,0
ФИО_597,5,5.0,,0
ФИО_9,5,5.0,,0
ФИО_190,5,5.0,,0
ФИО_525,5,5.0,,0
ФИО_621,5,5.0,,0
ФИО_335,"31,33333333",31.33333333,,3
ФИО_449,"31,33333333",31.33333333,,3
ФИО_171,"44,61333333",44.61333333,,3
ФИО_228,"44,61333333",44.61333333,,3
ФИО_198,"40,59111111",40.59111111,,3
ФИО_529,"40,59111111",40.59111111,,3
ФИО_584,"49,94111111",49.94111111,,3
ФИО_613,"49,94111111",49.94111111,,3
ФИО_412,"42,88555556",42.88555556,,3
ФИО_635,"42,88555556",42.88555556,,3
ФИО_87,"44,57",44.57,,3
ФИО_638,"44,57",44.57,,3
ФИО_662,"43,21333333",43.21333333,,3
ФИО_685,"43,21333333",43.21333333,,3
ФИО_289,"40,58333333",40.58333333,,3
ФИО_657,"40,58333333",40.58333333,,3
ФИО_267,"37,11333333",37.11333333,,3
ФИО_577,"37,11333333",37.11333333,,3
ФИО_10,"38,02",38.02,,3
ФИО_249,"38,02",38.02,,3
ФИО_72,100,73.33,73.33,2
ФИО_305,100,73.33,73.33,2
ФИО_480,100,60.92,60.92,3
ФИО_512,100,60.92,60.92,3
ФИО_283,100,42.75,42.75,3
ФИО_686,100,42.75,42.75,3
ФИО_679,100,71.58,71.58,2
ФИО_701,100,71.58,71.58,2
ФИО_504,100,44.17,44.17,3
ФИО_575,100,44.17,44.17,3
ФИО_274,100,47.42,47.42,3
ФИО_307,100,47.42,47.42,3
ФИО_50,100,45.84,45.84,3
ФИО_453,100,45.84,45.84,3
ФИО_315,100,45.5,45.5,3
ФИО_343,100,45.5,45.5,3
ФИО_37,100,56.81,56.81,3
ФИО_90,100,23.76,23.76,8
ФИО_136,100,28.37,28.37,6
ФИО_360,100,56.95,56.95,3
ФИО_377,100,38.05,38.05,3
ФИО_384,100,48.38,48.38,3
ФИО_398,100,62.8,62.8,3
ФИО_439,100,57.71,57.71,3
ФИО_445,100,31.61,31.61,6
ФИО_469,100,50.96,50.96,3
ФИО_487,100,45.48,45.48,3
ФИО_493,100,60.91,60.91,3
ФИО_500,100,63.66,63.66,3
ФИО_507,100,39.52,39.52,3
ФИО_550,100,42.8,42.8,3
ФИО_559,100,46.68,46.68,3
ФИО_593,100,47.67,47.67,3
ФИО_634,100,42.11,42.11,3
ФИО_324,100,89.85,89.85,1
ФИО_375,100,89.85,89.85,1
ФИО_144,100,37.0,37.0,3
ФИО_301,100,37.0,37.0,3
ФИО_26,100,72.05,72.05,3
ФИО_158,100,72.05,72.05,3
ФИО_4,100,48.0,48.0,3
ФИО_681,100,48.0,48.0,3
ФИО_18,100,85.35,85.35,1
ФИО_402,100,85.35,85.35,1
ФИО_71,100,45.05,45.05,3
ФИО_225,100,45.05,45.05,3
ФИО_156,100,60.7,60.7,3
ФИО_210,100,58.5,58.5,3
ФИО_239,100,85.7,85.7,1
ФИО_347,100,57.8,57.8,3
ФИО_378,100,89.0,89.0,1
ФИО_502,100,50.4,50.4,3
ФИО_533,100,54.5,54.5,3
ФИО_544,100,54.7,54.7,3
ФИО_420,100,74.25,74.25,3
ФИО_690,100,74.25,74.25,3
ФИО_321,100,66.31,66.31,3
ФИО_698,100,66.31,66.31,3
ФИО_598,100,58.71,58.71,3
ФИО_655,100,58.71,58.71,3
ФИО_285,100,57.68,57.68,3
ФИО_291,100,57.68,57.68,3
ФИО_55,100,64.96,64.96,3
ФИО_345,100,64.96,64.96,3
ФИО_103,100,67.04,67.04,3
ФИО_689,100,67.04,67.04,3
ФИО_410,100,75.22,75.22,2
ФИО_526,100,75.22,75.22,2
ФИО_432,100,58.04,58.04,3
ФИО_540,100,58.04,58.04,3
ФИО_54,100,44.88,44.88,3
ФИО_518,100,44.88,44.88,3
ФИО_261,100,31.57,31.57,3
ФИО_473,100,31.57,31.57,3
ФИО_94,100,44.91,44.91,3
ФИО_474,100,44.91,44.91,3
ФИО_35,100,51.27,51.27,3
ФИО_69,100,51.27,51.27,3
ФИО_359,100,49.36,49.36,3
ФИО_468,100,49.36,49.36,3
ФИО_367,100,43.52,43.52,3
ФИО_594,100,43.52,43.52,3
ФИО_370,100,64.11,64.11,3
ФИО_530,100,64.11,64.11,3
ФИО_7,100,43.45,43.45,3
ФИО_606,100,43.45,43.45,3
ФИО_68,100,9.8,9.8,10
ФИО_257,100,9.8,9.8,10
ФИО_1,100,19.18,19.18,10
ФИО_545,100,19.18,19.18,10
ФИО_619,100,54.42,54.42,3
ФИО_691,100,54.42,54.42,3
ФИО_488,100,53.65,53.65,3
ФИО_709,100,53.65,53.65,3
ФИО_382,100,44.8,44.8,3
ФИО_520,100,44.8,44.8,3
ФИО_202,100,33.62,33.62,3
ФИО_298,100,33.62,33.62,3
ФИО_23,100,32.98,32.98,6
ФИО_44,100,60.84,60.84,3
ФИО_117,100,83.31,83.31,2
ФИО_322,100,19.28,19.28,10
ФИО_352,100,69.17,69.17,3
ФИО_586,100,74.7,74.7,2
ФИО_699,100,37.08,37.08,3
ФИО_711,100,56.56,56.56,3
ФИО_8,100,35.22,35.22,3
ФИО_338,100,64.09,64.09,3
ФИО_364,100,55.14,55.14,3
ФИО_369,100,66.96,66.96,3
ФИО_389,100,56.75,56.75,3
ФИО_419,100,54.01,54.01,3
ФИО_503,100,36.17,36.17,6
ФИО_52,100,52.72,52.72,3
ФИО_57,100,19.89,19.89,3
ФИО_81,100,54.04,54.04,3
ФИО_223,100,43.11,43.11,3
ФИО_423,100,40.57,40.57,3
ФИО_509,100,63.82,63.82,3
ФИО_578,100,16.59,16.59,3
ФИО_15,100,48.25,48.25,3
ФИО_170,100,56.81,56.81,3
ФИО_300,100,18.81,18.81,3
ФИО_336,100,51.91,51.91,3
ФИО_365,100,17.82,17.82,3
ФИО_407,100,41.87,41.87,3
ФИО_465,100,21.96,21.96,3
ФИО_491,100,33.48,33.48,3
ФИО_566,100,31.29,31.29,3
ФИО_624,100,40.32,40.32,3
ФИО_3,100,38.48,38.48,3
ФИО_58,100,39.07,39.07,3
ФИО_125,100,39.28,39.28,3
ФИО_169,100,37.25,37.25,3
ФИО_192,100,26.0,26.0,3
ФИО_203,100,51.38,51.38,2
ФИО_295,100,19.03,19.03,3
ФИО_299,100,39.59,39.59,3
ФИО_333,100,28.33,28.33,3
ФИО_348,100,25.6,25.6,3
ФИО_366,100,48.14,48.14,3
ФИО_379,100,8.92,8.92,3
ФИО_471,100,48.92,48.92,3
ФИО_484,100,25.52,25.52,3
ФИО_498,100,34.28,34.28,3
ФИО_562,100,11.3,11.3,0
ФИО_620,100,42.73,42.73,3
ФИО_622,100,13.37,13.37,3
ФИО_626,100,22.27,22.27,3
ФИО_663,100,38.1,38.1,3
ФИО_13,100,60.1,60.1,3
ФИО_38,100,35.95,35.95,8
ФИО_67,100,55.65,55.65,3
ФИО_118,100,42.35,42.35,3
ФИО_172,100,57.6,57.6,3
ФИО_231,100,63.4,63.4,3
ФИО_290,100,66.7,66.7,3
ФИО_437,100,44.6,44.6,3
ФИО_485,100,51.1,51.1,3
ФИО_495,100,66.4,66.4,2
ФИО_515,100,54.05,54.05,3
ФИО_591,100,37.5,37.5,3
ФИО_612,100,72.8,72.8,2
ФИО_630,100,47.1,47.1,3
ФИО_707,100,54.1,54.1,3
ФИО_43,100,59.35,59.35,3
ФИО_121,100,16.75,16.75,10
ФИО_271,100,39.25,39.25,3
ФИО_327,100,33.0,33.0,3
ФИО_351,100,62.5,62.5,3
ФИО_404,100,41.3,41.3,3
ФИО_414,100,41.9,41.9,3
ФИО_475,100,56.55,56.55,3
ФИО_514,100,47.0,47.0,3
ФИО_528,100,68.1,68.1,3
ФИО_553,100,53.4,53.4,3
ФИО_631,100,40.6,40.6,3
ФИО_675,100,56.8,56.8,3
ФИО_704,100,54.7,54.7,3
ФИО_46,72,18.83,26.15,3
ФИО_47,72,10.94,15.19,3
ФИО_70,72,16.23,22.54,3
ФИО_108,72,46.78,64.97,3
ФИО_179,72,48.06,66.75,3
ФИО_191,72,38.11,52.93,3
ФИО_246,72,15.9,22.08,3
ФИО_284,72,11.16,15.5,3
ФИО_408,72,10.95,15.21,3
ФИО_450,72,13.06,18.14,3
ФИО_499,72,38.67,53.71,3
ФИО_510,72,26.28,36.5,3
ФИО_527,72,49.83,69.21,3
ФИО_706,72,40.5,56.25,3
ФИО_49,100,59.39,59.39,3
ФИО_129,100,32.97,32.97,3
ФИО_199,100,31.75,31.75,3
ФИО_262,100,23.76,23.76,3
ФИО_314,100,78.29,78.29,2
ФИО_328,100,20.43,20.43,3
ФИО_354,100,73.31,73.31,2
ФИО_381,100,60.98,60.98,3
ФИО_517,100,26.76,26.76,3
ФИО_547,100,66.41,66.41,3
ФИО_76,100,49.86,49.86,3
ФИО_84,100,65.42,65.42,3
ФИО_154,100,39.41,39.41,3
ФИО_159,100,42.37,42.37,3
ФИО_222,100,43.94,43.94,3
ФИО_418,100,25.72,25.72,7
ФИО_441,100,15.11,15.11,10
ФИО_538,100,45.76,45.76,3
ФИО_609,100,16.68,16.68,10
ФИО_676,100,53.32,53.32,3
ФИО_678,100,39.35,39.35,3
ФИО_702,100,69.26,69.26,3
ФИО_65,100,7.51,7.51,0
ФИО_91,100,44.85,44.85,3
ФИО_134,100,65.58,65.58,2
ФИО_153,100,27.37,27.37,3
ФИО_163,100,39.56,39.56,3
ФИО_213,100,25.39,25.39,3
ФИО_217,100,54.86,54.86,3
ФИО_256,100,48.13,48.13,3
ФИО_313,100,58.32,58.32,3
ФИО_492,100,24.24,24.24,3
ФИО_519,100,38.18,38.18,3
ФИО_555,100,37.9,37.9,3
ФИО_563,100,27.64,27.64,3
ФИО_596,100,48.1,48.1,3
ФИО_607,100,23.14,23.14,3
ФИО_648,100,28.11,28.11,3
ФИО_653,100,33.58,33.58,3
ФИО_672,100,52.28,52.28,3
ФИО_705,100,31.93,31.93,3
ФИО_14,100,43.58,43.58,3
ФИО_115,100,44.63,44.63,3
ФИО_122,100,67.93,67.93,3
ФИО_141,100,57.89,57.89,3
ФИО_196,100,58.55,58.55,3
ФИО_282,100,55.42,55.42,3
ФИО_304,100,43.69,43.69,3
ФИО_309,100,50.76,50.76,3
ФИО_357,100,62.28,62.28,3
ФИО_362,100,50.23,50.23,3
ФИО_434,100,34.83,34.83,3
ФИО_451,100,49.74,49.74,3
ФИО_505,100,62.48,62.48,3
ФИО_632,100,37.64,37.64,3
ФИО_646,100,54.82,54.82,3
ФИО_623,100,22.95,22.95,3
ФИО_703,100,22.95,22.95,3
ФИО_164,100,61.26,61.26,3
ФИО_310,100,61.26,61.26,3
ФИО_113,100,59.78,59.78,3
ФИО_353,100,59.78,59.78,3
ФИО_557,100,13.35,13.35,3
ФИО_659,100,13.35,13.35,3
ФИО_287,100,8.62,8.62,3
ФИО_522,100,8.62,8.62,3
ФИО_21,100,56.5,56.5,3
ФИО_476,100,56.5,56.5,3
ФИО_275,100,44.97,44.97,3
ФИО_637,100,44.97,44.97,3
ФИО_145,100,40.97,40.97,3
ФИО_240,100,40.97,40.97,3
ФИО_316,100,23.93,23.93,3
ФИО_323,100,23.93,23.93,3
ФИО_104,100,7.34,7.34,3
ФИО_580,100,7.34,7.34,3
ФИО_477,100,31.71,31.71,3
ФИО_554,100,31.71,31.71,3
ФИО_126,100,2.38,2.38,0
ФИО_582,100,2.38,2.38,0
ФИО_146,100,46.79,46.79,3
ФИО_406,100,46.79,46.79,3
ФИО_187,100,4.34,4.34,3
ФИО_665,100,4.34,4.34,3
ФИО_397,100,22.0,22.0,7
ФИО_692,100,22.0,22.0,7
ФИО_143,100,22.0,22.0,7
ФИО_41,100,66.78,66.78,3
ФИО_120,100,66.78,66.78,3
ФИО_180,100,66.78,66.78,3
ФИО_17,100,69.17,69.17,3
ФИО_387,100,69.17,69.17,3
ФИО_470,100,69.17,69.17,3
ФИО_341,100,65.33,65.33,3
ФИО_668,100,65.33,65.33,3
ФИО_241,100,65.33,65.33,3
ФИО_396,100,57.83,57.83,3
ФИО_409,100,57.83,57.83,3
ФИО_516,100,57.83,57.83,3
ФИО_230,100,19.0,19.0,7
ФИО_422,100,19.0,19.0,7
ФИО_444,100,19.0,19.0,7
ФИО_472,100,15.0,15.0,7
ФИО_576,100,15.0,15.0,7
ФИО_166,100,15.0,15.0,7
ФИО_78,100,43.0,43.0,3
ФИО_447,100,43.0,43.0,3
ФИО_552,100,43.0,43.0,3
ФИО_221,100,43.67,43.67,3
ФИО_570,100,43.67,43.67,3
ФИО_587,100,43.67,43.67,3
ФИО_53,100,36.01,36.01,3
ФИО_95,100,49.56,49.56,3
ФИО_100,100,39.92,39.92,3
ФИО_152,100,31.26,31.26,3
ФИО_178,100,70.33,70.33,3
ФИО_207,100,35.63,35.63,3
ФИО_214,100,63.04,63.04,3
ФИО_312,100,32.35,32.35,3
ФИО_326,100,21.47,21.47,3
ФИО_391,100,46.08,46.08,3
ФИО_392,100,28.33,28.33,3
ФИО_428,100,43.23,43.23,3
ФИО_435,100,41.43,41.43,3
ФИО_443,100,45.29,45.29,3
ФИО_501,100,27.67,27.67,3
ФИО_652,100,55.96,55.96,3
ФИО_656,100,78.15,78.15,2
ФИО_673,100,40.93,40.93,3
ФИО_680,100,46.31,46.31,3
ФИО_710,100,50.09,50.09,3
ФИО_137,100,79.38,79.38,3
ФИО_181,100,79.38,79.38,3
ФИО_595,100,79.38,79.38,3
ФИО_20,100,83.44,83.44,2
ФИО_421,100,83.44,83.44,2
ФИО_560,100,83.44,83.44,2
ФИО_186,100,69.04,69.04,3
ФИО_358,100,69.04,69.04,3
ФИО_618,100,69.04,69.04,3
ФИО_105,100,69.12,69.12,3
ФИО_416,100,69.12,69.12,3
ФИО_644,100,69.12,69.12,3
ФИО_277,100,57.34,57.34,3
ФИО_371,100,57.34,57.34,3
ФИО_405,100,57.34,57.34,3
ФИО_40,100,61.71,61.71,3
ФИО_177,100,61.71,61.71,3
ФИО_666,100,61.71,61.71,3
ФИО_131,100,80.91,80.91,2
ФИО_208,100,80.91,80.91,2
ФИО_393,100,80.91,80.91,2
ФИО_59,100,65.17,65.17,3
ФИО_142,100,65.17,65.17,3
ФИО_483,100,65.17,65.17,3
ФИО_161,100,31.96,31.96,3
ФИО_197,100,26.18,26.18,3
ФИО_270,100,17.23,17.23,3
ФИО_272,100,43.43,43.43,3
ФИО_386,100,32.22,32.22,3
ФИО_424,100,43.96,43.96,3
ФИО_482,100,19.92,19.92,3
ФИО_627,100,21.23,21.23,7
ФИО_712,100,25.43,25.43,3
ФИО_109,100,48.63,48.63,3
ФИО_147,100,50.7,50.7,3
ФИО_149,100,42.33,42.33,3
ФИО_150,100,37.13,37.13,3
ФИО_245,100,54.65,54.65,3
ФИО_248,100,48.89,48.89,3
ФИО_479,100,60.49,60.49,3
ФИО_34,100,60.29,60.29,3
ФИО_61,100,35.18,35.18,3
ФИО_93,100,26.24,26.24,3
ФИО_116,100,84.86,84.86,2
ФИО_155,100,41.12,41.12,3
ФИО_168,100,20.07,20.07,3
ФИО_253,100,47.88,47.88,3
ФИО_297,100,82.34,82.34,2
ФИО_319,100,46.84,46.84,3
ФИО_339,100,37.39,37.39,3
ФИО_429,100,42.51,42.51,3
ФИО_440,100,40.69,40.69,3
ФИО_531,100,17.4,17.4,3
ФИО_558,100,17.55,17.55,3
ФИО_601,100,38.16,38.16,3
ФИО_616,100,27.19,27.19,3
ФИО_73,100,71.02,71.02,3
ФИО_83,100,72.93,72.93,3
ФИО_86,100,40.55,40.55,3
ФИО_88,100,63.74,63.74,3
ФИО_96,100,47.99,47.99,3
ФИО_276,100,16.72,16.72,10
ФИО_306,100,80.95,80.95,2
ФИО_385,100,55.11,55.11,3
ФИО_639,100,16.35,16.35,10
ФИО_355,106,62.61,59.07,3
ФИО_395,106,62.61,59.07,3
ФИО_697,106,62.61,59.07,3
ФИО_0,106,63.9,60.28,3
ФИО_508,106,63.9,60.28,3
ФИО_549,106,63.9,60.28,3
ФИО_64,106,56.36,53.17,3
ФИО_448,106,56.36,53.17,3
ФИО_496,106,56.36,53.17,3
ФИО_82,106,73.53,69.37,2
ФИО_124,106,73.53,69.37,2
ФИО_633,106,73.53,69.37,2
ФИО_394,106,51.81,48.88,3
ФИО_600,106,51.81,48.88,3
ФИО_650,106,51.81,48.88,3
ФИО_247,106,59.8,56.42,3
ФИО_539,106,59.8,56.42,3
ФИО_654,106,59.8,56.42,3
ФИО_195,106,40.34,38.06,3
ФИО_454,106,40.34,38.06,3
ФИО_605,106,40.34,38.06,3
ФИО_5,106,59.38,56.02,3
ФИО_317,106,59.38,56.02,3
ФИО_614,106,59.38,56.02,3
ФИО_524,100,69.11,69.11,3
ФИО_571,100,69.11,69.11,3
ФИО_22,100,38.4,38.4,3
ФИО_608,100,38.4,38.4,3
ФИО_6,100,18.48,18.48,3
ФИО_532,100,18.48,18.48,3
ФИО_119,100,19.04,19.04,3
ФИО_442,100,19.04,19.04,3
ФИО_160,100,44.61,44.61,3
ФИО_260,100,44.61,44.61,3
ФИО_292,100,41.31,41.31,3
ФИО_350,100,41.31,41.31,3
ФИО_329,100,20.0,20.0,3
ФИО_684,100,20.0,20.0,3
ФИО_252,100,43.53,43.53,3
ФИО_269,100,43.53,43.53,3
ФИО_534,100,19.47,19.47,3
ФИО_649,100,19.47,19.47,3
ФИО_537,100,87.3,87.3,2
ФИО_695,100,87.3,87.3,2
ФИО_157,100,44.65,44.65,3
ФИО_610,100,44.65,44.65,3
ФИО_12,100,32.64,32.64,3
ФИО_201,100,30.93,30.93,3
ФИО_206,100,47.71,47.71,3
ФИО_280,100,67.54,67.54,3
ФИО_463,100,41.65,41.65,3
ФИО_511,100,56.52,56.52,3
ФИО_579,100,31.01,31.01,3
ФИО_32,100,61.82,61.82,2
ФИО_89,100,58.52,58.52,2
ФИО_101,100,36.3,36.3,3
ФИО_140,100,47.23,47.23,3
ФИО_183,100,46.95,46.95,3
ФИО_209,100,32.05,32.05,3
ФИО_212,100,35.25,35.25,3
ФИО_238,100,45.71,45.71,3
ФИО_243,100,53.3,53.3,3
ФИО_259,100,40.55,40.55,3
ФИО_265,100,46.73,46.73,3
ФИО_281,100,39.15,39.15,3
ФИО_308,100,49.7,49.7,3
ФИО_361,100,31.55,31.55,3
ФИО_373,100,44.7,44.7,3
ФИО_388,100,59.05,59.05,3
ФИО_415,100,44.1,44.1,3
ФИО_481,100,52.75,52.75,3
ФИО_658,100,52.13,52.13,3
ФИО_677,100,47.8,47.8,3
ФИО_682,100,46.91,46.91,3
ФИО_693,100,50.53,50.53,3
ФИО_42,100,69.9,"69,9",3
ФИО_107,100,22.1,"22,1",8
XXX,100,88.7,"88,7",2
ФИО_174,100,45.9,"45,9",3
ФИО_194,100,48.2,"48,2",3
ФИО_226,100,74.2,"74,2",3
ФИО_233,100,34.3,"34,3",6
ФИО_399,100,56.0,56,3
ФИО_426,100,40.6,"40,6",3
ФИО_430,100,52.8,"52,8",3
ФИО_464,100,59.4,"59,4",3
XXX,100,89.65,"89,65",2
ФИО_543,100,52.7,"52,7",3
ФИО_585,100,81.3,"81,3",3
ФИО_687,100,71.3,"71,3",3
ФИО_2,100,13.78,13.78,10
ФИО_77,100,59.52,59.52,3
ФИО_92,100,47.53,47.53,3
ФИО_110,100,15.45,15.45,10
ФИО_148,100,49.38,49.38,3
ФИО_188,100,62.67,62.67,3
ФИО_204,100,48.08,48.08,3
ФИО_278,100,22.92,22.92,7
ФИО_288,100,48.63,48.63,3
ФИО_302,100,41.5,41.5,3
ФИО_401,100,54.43,54.43,3
ФИО_494,100,6.0,6.0,5
ФИО_506,100,51.02,51.02,3
ФИО_521,100,54.18,54.18,3
ФИО_523,100,4.88,4.88,5
ФИО_572,100,38.12,38.12,3
ФИО_581,100,36.47,36.47,3
ФИО_615,100,33.62,33.62,3
ФИО_640,100,57.98,57.98,3
ФИО_688,100,61.47,61.47,3
ФИО_425,100,46.25,46.25,3
ФИО_535,100,46.25,46.25,3
ФИО_16,100,48.0,48.0,3
ФИО_268,100,48.0,48.0,3
ФИО_255,100,48.75,48.75,3
ФИО_279,100,48.75,48.75,3
ФИО_45,100,63.25,63.25,3
ФИО_318,100,63.25,63.25,3
ФИО_60,100,88.25,88.25,1
ФИО_303,100,88.25,88.25,1
ФИО_273,100,68.0,68.0,3
ФИО_127,100,68.0,68.0,3
ФИО_185,100,55.5,55.5,3
ФИО_642,100,55.5,55.5,3
ФИО_229,100,74.5,74.5,2
ФИО_546,100,74.5,74.5,2
ФИО_128,"68,39",68.39,0.0,3
ФИО_176,"68,39",68.39,0.0,3
ФИО_193,"68,39",68.39,0.0,3
ФИО_403,"68,39",68.39,0.0,3
ФИО_569,"68,39",68.39,0.0,3
ФИО_628,"68,39",68.39,0.0,3
ФИО_696,"68,39",68.39,0.0,3
ФИО_74,"64,88",64.88,0.0,3
ФИО_215,"64,88",64.88,0.0,3
ФИО_216,"64,88",64.88,0.0,3
ФИО_242,"64,88",64.88,0.0,3
ФИО_346,"64,88",64.88,0.0,3
ФИО_567,"64,88",64.88,0.0,3
ФИО_599,"64,88",64.88,0.0,3
ФИО_39,"59,39",59.39,0.0,3
ФИО_62,"59,39",59.39,0.0,3
ФИО_237,"59,39",59.39,0.0,3
ФИО_431,"59,39",59.39,0.0,3
ФИО_436,"59,39",59.39,0.0,3
ФИО_645,"59,39",59.39,0.0,3
ФИО_647,"59,39",59.39,0.0,3
ФИО_151,"58,83",58.83,0.0,3
ФИО_264,"58,83",58.83,0.0,3
ФИО_311,"58,83",58.83,0.0,3
ФИО_459,"58,83",58.83,0.0,3
ФИО_461,"58,83",58.83,0.0,3
ФИО_583,"58,83",58.83,0.0,3
ФИО_604,"58,83",58.83,0.0,3
ФИО_75,"56,03",56.03,0.0,3
ФИО_236,"56,03",56.03,0.0,3
ФИО_363,"56,03",56.03,0.0,3
ФИО_383,"56,03",56.03,0.0,3
ФИО_561,"56,03",56.03,0.0,3
ФИО_669,"56,03",56.03,0.0,3
ФИО_670,"56,03",56.03,0.0,3
ФИО_165,"49,07",49.07,0.0,3
ФИО_372,"49,07",49.07,0.0,3
ФИО_413,"49,07",49.07,0.0,3
ФИО_513,"49,07",49.07,0.0,3
ФИО_568,"49,07",49.07,0.0,3
ФИО_641,"49,07",49.07,0.0,3
ФИО_664,"49,07",49.07,0.0,3
ФИО_25,"44,54",44.54,0.0,3
ФИО_224,"44,54",44.54,0.0,3
ФИО_565,"44,54",44.54,0.0,3
ФИО_574,"44,54",44.54,0.0,3
ФИО_603,"44,54",44.54,0.0,3
ФИО_629,"44,54",44.54,0.0,3
ФИО_636,"44,54",44.54,0.0,3
ФИО_33,"42,69",42.69,0.0,3
ФИО_66,"42,69",42.69,0.0,3
ФИО_80,"42,69",42.69,0.0,3
ФИО_234,"42,69",42.69,0.0,3
ФИО_320,"42,69",42.69,0.0,3
ФИО_374,"42,69",42.69,0.0,3
ФИО_651,"42,69",42.69,0.0,3
ФИО_29,"41,88",41.88,0.0,3
ФИО_250,"41,88",41.88,0.0,3
ФИО_263,"41,88",41.88,0.0,3
ФИО_380,"41,88",41.88,0.0,3
ФИО_390,"41,88",41.88,0.0,3
ФИО_592,"41,88",41.88,0.0,3
ФИО_661,"41,88",41.88,0.0,3
